300	3.3652889879748127e-02	2.9499256437929292e-02	1.0652133816520517e-02
301	3.3680037779059951e-02	2.9580102773205986e-02	1.0644666481356379e-02
302	3.3706743748386871e-02	2.9661047410712724e-02	1.0637160785774908e-02
303	3.3733009889126482e-02	2.9742088100132860e-02	1.0629617364469822e-02
304	3.3758840728138013e-02	2.9823219927136439e-02	1.0622044089127933e-02
305	3.3784244510669886e-02	2.9904435266120421e-02	1.0614445451426358e-02
306	3.3809229730582910e-02	2.9985720733181301e-02	1.0606817389833292e-02
307	3.3833802728592037e-02	3.0067058866834154e-02	1.0599163025089096e-02
308	3.3857967829015470e-02	3.0148441418322243e-02	1.0591487740846277e-02
309	3.3881733989185252e-02	3.0229861003623730e-02	1.0583787183314588e-02
310	3.3905112288315407e-02	3.0311311665865748e-02	1.0576054971144753e-02
311	3.3928106871168998e-02	3.0392793062696981e-02	1.0568289300274545e-02
312	3.3950716509947347e-02	3.0474300320247262e-02	1.0560495052842350e-02
313	3.3972943128160280e-02	3.0555827008432665e-02	1.0552678416340373e-02
314	3.3994796192121597e-02	3.0637376000698512e-02	1.0544847373313380e-02
315	3.4016286017035172e-02	3.0718948454183406e-02	1.0537010146112843e-02
316	3.4037422824001365e-02	3.0800542705198879e-02	1.0529164005010637e-02
317	3.4058217300882106e-02	3.0882157101504930e-02	1.0521304731203211e-02
318	3.4078676951621714e-02	3.0963788453866433e-02	1.0513437256393749e-02
319	3.4098813856232139e-02	3.1045432231168943e-02	1.0505565261454878e-02
320	3.4118643400832767e-02	3.1127082628853327e-02	1.0497686721069101e-02
321	3.4138171333073605e-02	3.1208738290627300e-02	1.0489796601314574e-02
322	3.4157398368301312e-02	3.1290395881641814e-02	1.0481892523619423e-02
323	3.4176333996304126e-02	3.1372051853677842e-02	1.0473979658064198e-02
324	3.4194987556513665e-02	3.1453703725481674e-02	1.0466057222974168e-02
325	3.4213365821403059e-02	3.1535353277340833e-02	1.0458121007845968e-02
326	3.4231479166185769e-02	3.1616998637134922e-02	1.0450175912878428e-02
327	3.4249336896003520e-02	3.1698635578467929e-02	1.0442229215407601e-02
328	3.4266948247111455e-02	3.1780254956399238e-02	1.0434283082577154e-02
329	3.4284326556003789e-02	3.1861842201305460e-02	1.0426334588750995e-02
330	3.4301485106982416e-02	3.1943384837392952e-02	1.0418377948197017e-02
331	3.4318437936462172e-02	3.2024866190828567e-02	1.0410413352310412e-02
332	3.4335200166272541e-02	3.2106279101890192e-02	1.0402443577679520e-02
333	3.4351785612093705e-02	3.2187622137889879e-02	1.0394468797558723e-02
334	3.4368208386784567e-02	3.2268886081668051e-02	1.0386481693806175e-02
335	3.4384489595852961e-02	3.2350059704055308e-02	1.0378470105231239e-02
336	3.4400650797264766e-02	3.2431132492864195e-02	1.0370428416431097e-02
337	3.4416702486006916e-02	3.2512092249978190e-02	1.0362361949397214e-02
338	3.4432650990235618e-02	3.2592931933081937e-02	1.0354278497010910e-02
339	3.4448503085333954e-02	3.2673644226562958e-02	1.0346181042597604e-02
340	3.4464273982181305e-02	3.2754228729011743e-02	1.0338070207723388e-02
341	3.4479979057055007e-02	3.2834685404504516e-02	1.0329950865317714e-02
342	3.4495628395754652e-02	3.2915003787327833e-02	1.0321827148813210e-02
343	3.4511235046629729e-02	3.2995173051494173e-02	1.0313699223368453e-02
344	3.4526809515760017e-02	3.3075180618151317e-02	1.0305569570984306e-02
345	3.4542359807789830e-02	3.3155017898481909e-02	1.0297445356794277e-02
346	3.4557899108432301e-02	3.3234677381460520e-02	1.0289329661454912e-02
347	3.4573442253038753e-02	3.3314156659680863e-02	1.0281217335579089e-02
348	3.4589001524951216e-02	3.3393443852052930e-02	1.0273097124519766e-02
349	3.4604587828316213e-02	3.3472525804376742e-02	1.0264957137784098e-02
350	3.4620208421889037e-02	3.3551406279805872e-02	1.0256792867399977e-02
351	3.4635871144527007e-02	3.3630090143057990e-02	1.0248604939695783e-02
352	3.4651581019411480e-02	3.3708571863760764e-02	1.0240399997952706e-02
353	3.4667347477603368e-02	3.3786839488963910e-02	1.0232182606136364e-02
354	3.4683183194136644e-02	3.3864884527949092e-02	1.0223952808450669e-02
355	3.4699094475531565e-02	3.3942697759982744e-02	1.0215703788131286e-02
356	3.4715082654008661e-02	3.4020270819980478e-02	1.0207431492427373e-02
357	3.4731148426137615e-02	3.4097587804373608e-02	1.0199132654000291e-02
358	3.4747297712647597e-02	3.4174631970402658e-02	1.0190806387010188e-02
359	3.4763545332841116e-02	3.4251398114339957e-02	1.0182461753225758e-02
360	3.4779901835482428e-02	3.4327878690185568e-02	1.0174105024833464e-02
361	3.4796367338085457e-02	3.4404061743902807e-02	1.0165734353374810e-02
362	3.4812946944025223e-02	3.4479934226003178e-02	1.0157343303260085e-02
363	3.4829652905925094e-02	3.4555481720555170e-02	1.0148931245426603e-02
364	3.4846498384122342e-02	3.4630693578536008e-02	1.0140496416072535e-02
365	3.4863490665156635e-02	3.4705553854194694e-02	1.0132033432377840e-02
366	3.4880637554662412e-02	3.4780048455524910e-02	1.0123541043363262e-02
